Pick 3 Morning,10,2,2023,1,1,5,,1
Pick 3 Morning,10,3,2023,8,2,4,,1
Pick 3 Morning,10,4,2023,1,1,4,,4
Pick 3 Morning,10,5,2023,4,8,8,,0
Pick 3 Morning,10,6,2023,9,3,6,,3
Pick 3 Morning,10,7,2023,6,5,8,,6
Pick 3 Morning,10,9,2023,7,6,6,,8
Pick 3 Morning,10,10,2023,6,1,1,,4
Pick 3 Morning,10,11,2023,0,1,8,,0
Pick 3 Morning,10,12,2023,0,4,8,,3
Pick 3 Morning,10,13,2023,5,3,6,,1
Pick 3 Morning,10,14,2023,0,6,7,,6
Pick 3 Morning,10,16,2023,7,7,0,,5
Pick 3 Morning,10,17,2023,8,9,7,,0
Pick 3 Morning,10,18,2023,8,5,4,,2
Pick 3 Morning,10,19,2023,4,8,2,,2
Pick 3 Morning,10,20,2023,8,4,4,,6
Pick 3 Morning,10,21,2023,1,5,0,,8
Pick 3 Morning,10,23,2023,4,2,3,,6
